t,rms
2.49,0.0295908
2.493,0.0295383
2.496,0.0294825
2.499,0.0294233
2.502,0.029361
2.505,0.0292955
2.508,0.0292271
2.511,0.0291557
2.514,0.0290816
2.517,0.0290047
2.52,0.0289252
2.523,0.0288432
2.526,0.0287589
2.529,0.0286723
2.532,0.0285835
2.535,0.0284927
2.538,0.0283999
2.541,0.0283054
2.544,0.0282092
2.547,0.0281115
2.55,0.0280123
2.553,0.0279118
2.556,0.0278102
2.559,0.0277075
2.562,0.0276039
2.565,0.0274995
2.568,0.0273944
2.571,0.0272888
2.574,0.0271829
2.577,0.0270766
2.58,0.0269702
2.583,0.0268638
2.586,0.0267575
2.589,0.0266515
2.592,0.0265458
2.595,0.0264406
2.598,0.0263361
2.601,0.0262322
2.604,0.0261293
2.607,0.0260273
2.61,0.0259264
2.613,0.0258267
2.616,0.0257284
2.619,0.0256315
2.622,0.0255361
2.625,0.0254424
2.628,0.0253504
2.631,0.0252603
2.634,0.0251722
2.637,0.0250861
2.64,0.0250022
2.643,0.0249205
2.646,0.0248411
2.649,0.0247641
2.652,0.0246896
2.655,0.0246177
2.658,0.0245484
2.661,0.0244819
2.664,0.0244181
2.667,0.0243571
2.67,0.024299
2.673,0.0242439
2.676,0.0241918
2.679,0.0241428
2.682,0.0240968
2.685,0.024054
2.688,0.0240143
2.691,0.0239778
2.694,0.0239446
2.697,0.0239146
2.7,0.0238879
2.703,0.0238645
2.706,0.0238444
2.709,0.0238276
2.712,0.023814
2.715,0.0238039
2.718,0.023797
2.721,0.0237934
2.724,0.0237931
2.727,0.023796
2.73,0.0238023
2.733,0.0238117
2.736,0.0238243
2.739,0.0238401
2.742,0.0238591
2.745,0.0238811
2.748,0.0239062
2.751,0.0239343
2.754,0.0239654
2.757,0.0239993
2.76,0.0240361
2.763,0.0240757
2.766,0.0241181
2.769,0.0241631
2.772,0.0242107
2.775,0.0242608
2.778,0.0243134
2.781,0.0243683
2.784,0.0244256
2.787,0.0244851
2.79,0.0245467
